City_ID,City,Description,Max Temp,Lat,Lng,Hotel Name
705,Jos,clear sky,62.85,9.9167,8.9,Silk Suites
708,Castro,broken clouds,63.73,-24.7911,-50.0119,CHACARA BAILLY
710,Hermanus,overcast clouds,62.01,-34.4187,19.2345,Misty Waves Boutique Hotel
713,Te Anau,few clouds,72.7,-45.4167,167.7167,Kingsgate Hotel Te Anau
719,Souillac,light rain,80.01,-20.5167,57.5167,Shanti Maurice Resort & Spa
722,Kapaa,few clouds,77.0,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
723,Rikitea,overcast clouds,79.75,-23.1203,-134.9692,Pension Maro'i
724,Mahebourg,light rain,80.01,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
725,Port Alfred,light rain,66.0,-33.5906,26.891,The Halyards Hotel
726,Nicoya,clear sky,74.7,10.1483,-85.45200000000001,Guayacan Real
729,Puerto Escondido,clear sky,80.6,15.85,-97.0667,Aldea del Bazar Hotel and Spa
730,Port Elizabeth,light rain,64.4,-33.918,25.5701,39 On Nile Guest House
731,Mataura,scattered clouds,75.22,-46.1927,168.8643,Ellie's Villa
734,Saint-Philippe,light rain,80.6,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
738,Busselton,clear sky,82.0,-33.65,115.3333,Observatory Guest House
739,Atuona,clear sky,78.93,-9.8,-139.0333,Villa Enata
740,Tucuman,drizzle,68.0,-26.8241,-65.2226,Dallas Hotel Tucuman
741,Guerrero Negro,overcast clouds,64.06,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
744,Airai,overcast clouds,69.67,-8.9266,125.4092,Juvinal Martin
745,Puerto Ayora,scattered clouds,79.0,-0.7393,-90.3518,Castillo Galapagos
746,Chuy,overcast clouds,69.64,-33.6971,-53.4616,Nuevo Hotel Plaza
748,Bluff,scattered clouds,60.73,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
751,Rocha,overcast clouds,67.89,-34.4833,-54.3333,Beleza Pura B&B
752,Todos Santos,overcast clouds,68.0,23.45,-110.2167,Hotel California Todos Santos
753,Bredasdorp,overcast clouds,62.01,-34.5322,20.0403,Bredasdorp Country Manor
754,Darnah,scattered clouds,61.72,32.766999999999996,22.6367,فندق الفردوس
755,Sao Miguel Do Tapuio,light rain,74.37,-5.5036,-41.3233,Hotel Tropical
756,Mirpur Khas,clear sky,60.75,25.5251,69.0159,Hotel Al-Fajar
761,Port-Gentil,broken clouds,80.6,-0.7193,8.7815,Fengshui Residence
763,Cidreira,overcast clouds,74.35,-30.1811,-50.2056,Hotel Castelo
765,Hilo,few clouds,78.8,19.7297,-155.09,Hilo Hawaiian Hotel
766,Modakeke,few clouds,72.18,7.3833,4.2667,Harvard Continental Hotel
768,Vao,overcast clouds,75.67,-22.6667,167.4833,Hotel Kou-Bugny
771,Vaini,light rain,80.6,-21.2,-175.2,Keleti Beach Resort
772,Galle,clear sky,78.33,6.0367,80.217,Amangalla
776,Grand Gaube,light rain,80.01,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
778,Dingle,broken clouds,82.06,10.9995,122.6711,SEGAYA PROPERTY
782,Cape Town,few clouds,64.0,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
785,Qui Nhon,overcast clouds,74.19,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
786,Banda Aceh,scattered clouds,82.44,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
788,Nouadhibou,broken clouds,66.02,20.930999999999997,-17.0347,El Medina
790,Bo Phloi,clear sky,84.99,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
793,Hithadhoo,broken clouds,82.54,-0.6,73.0833,Scoop Guest House
797,Luderitz,clear sky,65.84,-26.6481,15.1594,LÜDERITZ NEST HOTEL
798,Yangjiang,overcast clouds,75.0,21.85,111.9667,HUALUXE Yangjiang City Center
799,Hobart,broken clouds,73.4,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
801,Avarua,moderate rain,82.4,-21.2078,-159.775,Paradise Inn
802,Huarmey,broken clouds,70.43,-10.0681,-78.1522,Hotel Miramar
803,Kavieng,light rain,84.06,-2.5744,150.7967,Nusa Island Retreat
810,Tabuk,scattered clouds,74.98,17.4189,121.4443,Golden Berries Hotel and Convention
811,Muli,overcast clouds,81.48,2.9167,73.5667,Medhufushi Island Resort
814,Quatre Cocos,light rain,80.01,-20.2078,57.7625,Emeraude Beach Attitude Hotel
815,Butaritari,light rain,81.23,3.0707,172.7902,Isles Sunset Lodge
818,Hobyo,few clouds,73.96,5.3505,48.5268,Halane Hotel and Restaurent
821,San Juan,broken clouds,61.47,-31.5375,-68.5364,Hotel Provincial
826,Pontes E Lacerda,clear sky,74.3,-15.2261,-59.3353,Hotel Bressan
827,Sao Miguel Do Araguaia,overcast clouds,74.46,-13.275,-50.1628,Hotel Executivo Palace
830,Bambous Virieux,light rain,80.6,-20.3428,57.7575,Casa Tia Villa
833,Mar Del Plata,broken clouds,64.0,-38.0023,-57.5575,Gran Hotel Mar del Plata
834,Touros,scattered clouds,78.8,-5.1989,-35.4608,INN NEW HORIZON
836,Mazagao,clear sky,80.6,-0.115,-51.2894,Recanto dos Ferreiras
838,Saldanha,few clouds,63.57,-33.0117,17.9442,Blue Bay Lodge
