City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Description
0,Punta Arenas,-53.15,-70.9167,53.6,66,0,32.21,2021-02-01 02:49:54,
1,Jos,9.9167,8.9,62.85,29,1,3.8,2021-02-01 02:52:25,
2,Taksimo,56.3444,114.8794,-21.89,76,99,2.08,2021-02-01 02:52:25,
3,Shimoda,34.6667,138.95,48.2,71,40,11.5,2021-02-01 02:52:25,
4,Castro,-24.7911,-50.0119,63.73,95,84,1.86,2021-02-01 02:52:25,
5,Kitimat,54.0524,-128.6534,28.0,92,99,3.6,2021-02-01 02:52:25,
6,Hermanus,-34.4187,19.2345,62.01,77,97,14.7,2021-02-01 02:48:13,
7,Saskylakh,71.9167,114.0833,-31.27,83,58,7.49,2021-02-01 02:52:26,
8,Barrow,71.2906,-156.7887,-16.6,76,20,8.05,2021-02-01 02:52:26,
9,Tiksi,71.6872,128.8694,-27.29,86,100,6.08,2021-02-01 02:49:49,
10,Kapaa,22.0752,-159.319,77.0,69,20,12.66,2021-02-01 02:52:28,
11,Rikitea,-23.1203,-134.9692,79.75,64,89,7.78,2021-02-01 02:52:29,
12,Mahebourg,-20.4081,57.7,80.01,80,37,5.99,2021-02-01 02:52:29,
13,Port Alfred,-33.5906,26.891,66.0,93,94,7.0,2021-02-01 02:52:29,
14,Nicoya,10.1483,-85.452,75.24,75,15,6.82,2021-02-01 02:52:29,
15,Laguna,38.421,-121.4238,59.0,51,1,4.52,2021-02-01 02:52:29,
16,Albany,42.6001,-73.9662,17.01,56,100,2.24,2021-02-01 02:50:04,
17,Puerto Escondido,15.85,-97.0667,80.6,78,1,3.71,2021-02-01 02:52:29,
18,Port Elizabeth,-33.918,25.5701,64.4,94,90,11.5,2021-02-01 02:52:30,
19,Mataura,-46.1927,168.8643,75.22,42,37,5.12,2021-02-01 02:52:30,
20,Tuktoyaktuk,69.4541,-133.0374,-27.4,75,20,3.44,2021-02-01 02:48:28,
21,Fortuna,40.5982,-124.1573,55.0,94,90,19.57,2021-02-01 02:47:58,
22,Saint-Philippe,-21.3585,55.7679,80.6,61,0,10.36,2021-02-01 02:52:30,
23,Narsaq,60.9167,-46.05,41.0,30,75,12.66,2021-02-01 02:52:30,
24,Dikson,73.5069,80.5464,-28.05,79,39,10.04,2021-02-01 02:52:30,
25,Bethel,41.3712,-73.414,19.99,60,100,7.74,2021-02-01 02:52:31,
26,Busselton,-33.65,115.3333,82.0,44,0,3.0,2021-02-01 02:51:34,
27,Atuona,-9.8,-139.0333,78.93,76,4,17.72,2021-02-01 02:52:31,
28,Tucuman,-26.8241,-65.2226,68.0,94,90,4.61,2021-02-01 02:52:31,
29,Guerrero Negro,27.9769,-114.0611,64.06,58,100,9.95,2021-02-01 02:52:31,
